Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Season,Division
02/08/2025,Accrington,Gillingham,1,1,D,2526,E3
02/08/2025,Barnet,Fleetwood Town,0,2,A,2526,E3
02/08/2025,Bristol Rvs,Harrogate,0,1,A,2526,E3
02/08/2025,Cambridge,Cheltenham,1,0,H,2526,E3
02/08/2025,Chesterfield,Barrow,1,0,H,2526,E3
02/08/2025,Colchester,Tranmere,1,1,D,2526,E3
02/08/2025,Grimsby,Crawley Town,3,0,H,2526,E3
02/08/2025,Milton Keynes Dons,Oldham,0,0,D,2526,E3
02/08/2025,Salford,Crewe,1,3,A,2526,E3
02/08/2025,Shrewsbury,Bromley,0,0,D,2526,E3
02/08/2025,Walsall,Swindon,2,1,H,2526,E3
02/08/2025,Newport County,Notts County,1,1,D,2526,E3
09/08/2025,Notts County,Salford,1,2,A,2526,E3
09/08/2025,Tranmere,Shrewsbury,4,0,H,2526,E3
09/08/2025,Barrow,Milton Keynes Dons,0,2,A,2526,E3
09/08/2025,Bromley,Barnet,2,0,H,2526,E3
09/08/2025,Cheltenham,Chesterfield,0,2,A,2526,E3
09/08/2025,Crawley Town,Newport County,1,2,A,2526,E3
09/08/2025,Crewe,Accrington,2,0,H,2526,E3
09/08/2025,Fleetwood Town,Bristol Rvs,2,1,H,2526,E3
09/08/2025,Gillingham,Walsall,1,0,H,2526,E3
09/08/2025,Harrogate,Grimsby,3,3,D,2526,E3
09/08/2025,Oldham,Colchester,1,1,D,2526,E3
09/08/2025,Swindon,Cambridge,3,2,H,2526,E3
16/08/2025,Chesterfield,Bristol Rvs,3,1,H,2526,E3
16/08/2025,Oldham,Swindon,1,2,A,2526,E3
16/08/2025,Barnet,Walsall,1,2,A,2526,E3
16/08/2025,Barrow,Notts County,2,1,H,2526,E3
16/08/2025,Bromley,Fleetwood Town,2,2,D,2526,E3
16/08/2025,Cambridge,Harrogate,1,1,D,2526,E3
16/08/2025,Crewe,Crawley Town,1,0,H,2526,E3
16/08/2025,Grimsby,Newport County,2,1,H,2526,E3
16/08/2025,Milton Keynes Dons,Cheltenham,5,0,H,2526,E3
16/08/2025,Salford,Accrington,2,1,H,2526,E3
16/08/2025,Shrewsbury,Colchester,0,2,A,2526,E3
16/08/2025,Tranmere,Gillingham,1,1,D,2526,E3
19/08/2025,Newport County,Salford,0,1,A,2526,E3
19/08/2025,Bristol Rvs,Oldham,0,0,D,2526,E3
19/08/2025,Cheltenham,Bromley,1,2,A,2526,E3
19/08/2025,Colchester,Cambridge,1,2,A,2526,E3
19/08/2025,Crawley Town,Milton Keynes Dons,1,1,D,2526,E3
19/08/2025,Fleetwood Town,Crewe,1,4,A,2526,E3
19/08/2025,Gillingham,Chesterfield,4,1,H,2526,E3
19/08/2025,Harrogate,Barrow,1,0,H,2526,E3
19/08/2025,Swindon,Barnet,0,2,A,2526,E3
19/08/2025,Walsall,Grimsby,0,1,A,2526,E3
20/08/2025,Notts County,Shrewsbury,4,1,H,2526,E3
23/08/2025,Newport County,Milton Keynes Dons,1,2,A,2526,E3
23/08/2025,Walsall,Salford,1,0,H,2526,E3
23/08/2025,Accrington,Grimsby,1,1,D,2526,E3
23/08/2025,Bristol Rvs,Cambridge,1,0,H,2526,E3
23/08/2025,Cheltenham,Barnet,0,1,A,2526,E3
23/08/2025,Colchester,Barrow,0,2,A,2526,E3
23/08/2025,Crawley Town,Tranmere,0,2,A,2526,E3
