Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Season,Division,filename
1993-08-14,Bristol Rvs,Bournemouth,0.0,1.0,A,9394,E2,data/E2/E2_9394.csv
1993-08-14,Charlton,Birmingham,1.0,0.0,H,9394,E1,data/E1/E1_9394.csv
1993-08-14,Crystal Palace,Tranmere,0.0,0.0,D,9394,E1,data/E1/E1_9394.csv
1993-08-14,Derby,Sunderland,5.0,0.0,H,9394,E1,data/E1/E1_9394.csv
1993-08-14,Grimsby,Bolton,0.0,0.0,D,9394,E1,data/E1/E1_9394.csv
1993-08-14,Leicester,Peterboro,2.0,1.0,H,9394,E1,data/E1/E1_9394.csv
1993-08-14,Luton,Watford,2.0,1.0,H,9394,E1,data/E1/E1_9394.csv
1993-08-14,Notts County,Middlesbrough,2.0,3.0,A,9394,E1,data/E1/E1_9394.csv
1993-08-14,Stoke,Millwall,1.0,2.0,A,9394,E1,data/E1/E1_9394.csv
1993-08-14,Barnsley,West Brom,1.0,1.0,D,9394,E1,data/E1/E1_9394.csv
1993-08-14,Wolves,Bristol City,3.0,1.0,H,9394,E1,data/E1/E1_9394.csv
1993-08-14,Carlisle,Wycombe,2.0,2.0,D,9394,E3,data/E3/E3_9394.csv
1993-08-14,Chester,Doncaster,0.0,1.0,A,9394,E3,data/E3/E3_9394.csv
1993-08-14,Colchester,Lincoln,1.0,0.0,H,9394,E3,data/E3/E3_9394.csv
1993-08-14,Darlington,Rochdale,1.0,1.0,D,9394,E3,data/E3/E3_9394.csv
1993-08-14,Gillingham,Chesterfield,0.0,2.0,A,9394,E3,data/E3/E3_9394.csv
1993-08-14,Hereford,Scarborough,0.0,1.0,A,9394,E3,data/E3/E3_9394.csv
1993-08-14,Mansfield,Shrewsbury,1.0,0.0,H,9394,E3,data/E3/E3_9394.csv
1993-08-14,Preston,Crewe,0.0,2.0,A,9394,E3,data/E3/E3_9394.csv
1993-08-14,Bury,Northampton,0.0,0.0,D,9394,E3,data/E3/E3_9394.csv
1993-08-14,Walsall,Torquay,1.0,2.0,A,9394,E3,data/E3/E3_9394.csv
1993-08-14,Barnet,Hull,1.0,2.0,A,9394,E2,data/E2/E2_9394.csv
1993-08-14,Brentford,Exeter,2.0,1.0,H,9394,E2,data/E2/E2_9394.csv
1993-08-14,West Ham,Wimbledon,0.0,2.0,A,9394,E0,data/E0/E0_9394.csv
1993-08-14,Southampton,Everton,0.0,2.0,A,9394,E0,data/E0/E0_9394.csv
1993-08-14,Sheffield United,Swindon,3.0,1.0,H,9394,E0,data/E0/E0_9394.csv
1993-08-14,Oldham,Ipswich,0.0,3.0,A,9394,E0,data/E0/E0_9394.csv
1993-08-14,Newcastle,Tottenham,0.0,1.0,A,9394,E0,data/E0/E0_9394.csv
1993-08-14,Man City,Leeds,1.0,1.0,D,9394,E0,data/E0/E0_9394.csv
1993-08-14,Liverpool,Sheffield Weds,2.0,0.0,H,9394,E0,data/E0/E0_9394.csv
1993-08-14,Chelsea,Blackburn,1.0,2.0,A,9394,E0,data/E0/E0_9394.csv
1993-08-14,Bradford,Brighton,2.0,0.0,H,9394,E2,data/E2/E2_9394.csv
1993-08-14,Aston Villa,QPR,4.0,1.0,H,9394,E0,data/E0/E0_9394.csv
1993-08-14,York,Swansea,2.0,1.0,H,9394,E2,data/E2/E2_9394.csv
1993-08-14,Wrexham,Rotherham,3.0,3.0,D,9394,E2,data/E2/E2_9394.csv
1993-08-14,Plymouth,Stockport,2.0,3.0,A,9394,E2,data/E2/E2_9394.csv
1993-08-14,Huddersfield,Reading,0.0,3.0,A,9394,E2,data/E2/E2_9394.csv
1993-08-14,Hartlepool,Fulham,0.0,1.0,A,9394,E2,data/E2/E2_9394.csv
1993-08-14,Cardiff,Leyton Orient,2.0,0.0,H,9394,E2,data/E2/E2_9394.csv
1993-08-14,Cambridge,Blackpool,3.0,2.0,H,9394,E2,data/E2/E2_9394.csv
1993-08-14,Burnley,Port Vale,2.0,1.0,H,9394,E2,data/E2/E2_9394.csv
1993-08-14,Arsenal,Coventry,0.0,3.0,A,9394,E0,data/E0/E0_9394.csv
1993-08-14,Wigan,Scunthorpe,0.0,2.0,A,9394,E3,data/E3/E3_9394.csv
1993-08-14,Oxford,Portsmouth,3.0,2.0,H,9394,E1,data/E1/E1_9394.csv
1993-08-15,Norwich,Man United,0.0,2.0,A,9394,E0,data/E0/E0_9394.csv
1993-08-15,Southend,Nott'm Forest,1.0,1.0,D,9394,E1,data/E1/E1_9394.csv
1993-08-16,Tottenham,Arsenal,0.0,1.0,A,9394,E0,data/E0/E0_9394.csv
1993-08-17,Peterboro,Barnsley,4.0,1.0,H,9394,E1,data/E1/E1_9394.csv
1993-08-17,Portsmouth,Charlton,1.0,2.0,A,9394,E1,data/E1/E1_9394.csv
1993-08-17,Leeds,West Ham,1.0,0.0,H,9394,E0,data/E0/E0_9394.csv
1993-08-17,Ipswich,Southampton,1.0,0.0,H,9394,E0,data/E0/E0_9394.csv
1993-08-17,Wimbledon,Chelsea,1.0,1.0,D,9394,E0,data/E0/E0_9394.csv
1993-08-17,Everton,Man City,1.0,0.0,H,9394,E0,data/E0/E0_9394.csv
1993-08-18,QPR,Liverpool,1.0,3.0,A,9394,E0,data/E0/E0_9394.csv
1993-08-18,Nott'm Forest,Derby,1.0,1.0,D,9394,E1,data/E1/E1_9394.csv
1993-08-18,Swindon,Oldham,0.0,1.0,A,9394,E0,data/E0/E0_9394.csv
1993-08-18,Blackburn,Norwich,2.0,3.0,A,9394,E0,data/E0/E0_9394.csv
1993-08-18,Coventry,Newcastle,2.0,1.0,H,9394,E0,data/E0/E0_9394.csv
1993-08-18,Man United,Sheffield United,3.0,0.0,H,9394,E0,data/E0/E0_9394.csv
1993-08-18,Sheffield Weds,Aston Villa,0.0,0.0,D,9394,E0,data/E0/E0_9394.csv
1993-08-21,Everton,Sheffield United,4.0,2.0,H,9394,E0,data/E0/E0_9394.csv
1993-08-21,Ipswich,Chelsea,1.0,0.0,H,9394,E0,data/E0/E0_9394.csv
1993-08-21,Man United,Newcastle,1.0,1.0,D,9394,E0,data/E0/E0_9394.csv
1993-08-21,QPR,Southampton,2.0,1.0,H,9394,E0,data/E0/E0_9394.csv
1993-08-21,Sheffield Weds,Arsenal,0.0,1.0,A,9394,E0,data/E0/E0_9394.csv
1993-08-21,Tottenham,Man City,1.0,0.0,H,9394,E0,data/E0/E0_9394.csv
