team,ranking,points,w,d,l,goals_for,goals_against,goal_difference,matched_played,last_date,ppg
Man United,1,2466,733,267,229,2283,1198,1085,1229,2025-09-20,2.0065093572009762
Arsenal,2,2342,681,299,249,2235,1218,1017,1229,2025-09-21,1.9056143205858422
Liverpool,3,2298,666,300,263,2217,1226,991,1229,2025-09-20,1.8698128559804719
Chelsea,4,2266,655,301,273,2111,1229,882,1229,2025-08-30,1.8437754271765663
Man City,5,2209,645,274,350,2243,1374,869,1269,2025-09-14,1.7407407407407407
Tottenham,40,1902,538,288,403,1903,1564,339,1229,2025-08-30,1.5475996745321399
Leeds,9,2088,585,333,455,1926,1681,245,1373,2025-08-30,1.5207574654042244
Sheffield United,7,2145,587,384,471,1932,1737,195,1442,2025-09-20,1.4875173370319001
Preston,6,2162,580,422,468,1970,1772,198,1470,2025-09-13,1.4707482993197278
Salford,105,405,110,75,91,381,327,54,276,2025-09-20,1.4673913043478262
Brentford,8,2118,575,393,477,1991,1781,210,1445,2025-09-13,1.4657439446366782
Milton Keynes Dons,82,1409,393,230,341,1361,1212,149,964,2025-09-20,1.4616182572614107
Bromley,116,80,20,20,15,78,69,9,55,2025-09-20,1.4545454545454546
Newcastle,58,1809,499,312,434,1776,1637,139,1245,2025-09-13,1.453012048192771
Ipswich,13,2065,557,394,484,1978,1847,131,1435,2025-09-12,1.4390243902439024
Wolves,18,1997,541,374,474,1831,1734,97,1389,2025-09-20,1.43772498200144
Reading,11,2080,570,370,516,1946,1868,78,1456,2025-09-20,1.4285714285714286
Millwall,10,2082,559,405,513,1792,1760,32,1477,2025-08-30,1.4096140825998646
Leicester,46,1881,507,360,471,1844,1736,108,1338,2025-09-20,1.405829596412556
Bristol City,12,2076,554,414,510,1959,1873,86,1478,2025-09-21,1.4046008119079838
Blackburn,41,1892,507,371,471,1786,1702,84,1349,2025-08-30,1.402520385470719
Wigan,22,1976,531,383,495,1813,1729,84,1409,2025-09-13,1.4024130589070263
Plymouth,14,2061,561,378,533,1882,1859,23,1472,2025-09-20,1.4001358695652173
Middlesbrough,36,1911,516,363,487,1744,1639,105,1366,2025-09-19,1.3989751098096632
Wycombe,15,2044,540,424,501,1853,1786,67,1465,2025-09-20,1.395221843003413
Nott'm Forest,20,1984,522,418,485,1851,1747,104,1425,2025-08-31,1.392280701754386
Cardiff,16,2037,541,414,509,1890,1852,38,1464,2025-09-20,1.3913934426229508
Charlton,26,1965,523,396,495,1830,1816,14,1414,2025-09-13,1.3896746817538896
Luton,65,1724,467,323,452,1685,1629,56,1242,2025-09-13,1.3880837359098228
Bournemouth,29,1959,531,366,516,1889,1845,44,1413,2025-09-21,1.3864118895966029
Wrexham,87,1089,290,219,279,1037,1057,-20,788,2025-09-13,1.381979695431472
Fulham,53,1836,495,351,483,1779,1726,53,1329,2025-09-20,1.381489841986456
Swansea,27,1963,526,385,511,1774,1773,1,1422,2025-09-13,1.380450070323488
Birmingham,28,1960,518,406,498,1743,1737,6,1422,2025-09-20,1.3783403656821378
Burnley,31,1932,516,384,505,1780,1834,-54,1405,2025-09-20,1.3750889679715304
Sunderland,54,1827,487,366,486,1670,1661,9,1339,2025-09-21,1.3644510828976848
Huddersfield,17,1998,532,402,531,1863,1977,-114,1465,2025-09-20,1.3638225255972696
Lincoln,76,1615,425,340,421,1512,1503,9,1186,2025-09-20,1.3617200674536256
Mansfield,68,1676,444,344,445,1656,1617,39,1233,2025-09-13,1.359286293592863
Aston Villa,67,1703,450,353,450,1595,1627,-32,1253,2025-08-31,1.3591380686352754
Norwich,34,1921,518,367,529,1875,1939,-64,1414,2025-09-20,1.3585572842998586
Derby,32,1930,518,376,528,1828,1854,-26,1422,2025-09-20,1.3572433192686357
Peterboro,19,1995,547,354,569,2112,2024,88,1470,2025-09-13,1.3571428571428572
Walsall,21,1980,520,420,523,1807,1852,-45,1463,2025-09-20,1.3533834586466165
Brighton,35,1912,498,418,497,1753,1749,4,1413,2025-09-20,1.3531493276716207
Bolton,51,1845,491,372,502,1776,1856,-80,1365,2025-09-20,1.3516483516483517
Everton,71,1660,437,349,443,1560,1583,-23,1229,2025-09-13,1.3506916192026037
Portsmouth,38,1904,508,380,523,1826,1805,21,1411,2025-09-20,1.3493975903614457
Gillingham,24,1971,520,411,531,1791,1883,-92,1462,2025-09-13,1.3481532147742818
Northampton,23,1972,525,397,541,1786,1849,-63,1463,2025-09-13,1.3479152426520848
Chesterfield,78,1613,428,329,440,1502,1509,-7,1197,2025-09-13,1.3475355054302423
Swindon,25,1970,529,383,555,1957,2019,-62,1467,2025-09-13,1.3428766189502386
Bury,79,1594,417,343,428,1459,1515,-56,1188,2019-05-04,1.3417508417508417
Doncaster,73,1647,449,300,482,1520,1626,-106,1231,2025-09-20,1.337936636880585
Stoke,49,1870,495,385,518,1624,1736,-112,1398,2025-09-13,1.3376251788268956
Oxford,66,1715,460,335,488,1676,1645,31,1283,2025-09-13,1.3367108339828526
Scunthorpe,64,1757,465,362,490,1745,1802,-57,1317,2022-04-30,1.334092634776006
Tranmere,62,1772,470,362,498,1644,1693,-49,1330,2025-09-13,1.3323308270676693
West Brom,55,1827,482,381,511,1763,1816,-53,1374,2025-09-13,1.3296943231441047
Bradford,30,1936,514,394,548,1783,1895,-112,1456,2025-09-13,1.3296703296703296
Watford,48,1872,498,378,537,1854,1936,-82,1413,2025-09-13,1.3248407643312101
Stevenage,93,911,239,194,255,806,829,-23,688,2025-09-20,1.3241279069767442
Rochdale,59,1800,472,384,504,1788,1808,-20,1360,2023-04-29,1.3235294117647058
Sheffield Weds,44,1890,499,393,538,1817,1905,-88,1430,2025-09-13,1.3216783216783217
Stockport,85,1288,342,262,371,1291,1366,-75,975,2025-09-13,1.3210256410256411
Burton,92,962,257,191,284,890,1018,-128,732,2025-09-13,1.314207650273224
Fleetwood Town,98,783,203,174,219,738,741,-3,596,2025-09-13,1.313758389261745
Leyton Orient,57,1811,483,362,534,1695,1807,-112,1379,2025-09-13,1.3132704858593183
Aldershot,108,301,78,67,85,278,302,-24,230,2013-04-20,1.308695652173913
Barnsley,33,1923,511,390,571,1898,2066,-168,1472,2025-09-13,1.3063858695652173
Bristol Rvs,50,1859,497,368,559,1755,1864,-109,1424,2025-09-13,1.3054775280898876
Exeter,77,1615,426,337,475,1504,1664,-160,1238,2025-09-13,1.3045234248788369
Blackpool,39,1904,496,416,549,1866,1943,-77,1461,2025-09-20,1.3032169746748803
Hull,47,1874,495,389,554,1741,1844,-103,1438,2025-09-20,1.3031988873435327
Accrington,86,1135,305,220,346,1106,1262,-156,871,2025-09-13,1.3030998851894375
Southend,70,1662,448,318,511,1549,1696,-147,1277,2021-05-08,1.3014878621769772
West Ham,75,1629,436,321,496,1602,1782,-180,1253,2025-09-20,1.3000798084596967
Crystal Palace,63,1769,463,380,518,1693,1780,-87,1361,2025-09-13,1.2997795738427627
Rotherham,37,1908,502,402,565,1886,1979,-93,1469,2025-09-20,1.2988427501701838
Darlington,90,1002,264,210,300,943,982,-39,774,2010-05-08,1.2945736434108528
Colchester,42,1892,487,431,546,1839,1980,-141,1464,2025-09-20,1.2923497267759563
Rushden & D,109,297,78,63,89,288,313,-25,230,2006-05-06,1.291304347826087
Carlisle,56,1816,479,379,551,1735,1901,-166,1409,2025-05-03,1.2888573456352024
Notts County,69,1669,442,343,512,1656,1757,-101,1297,2025-09-20,1.286815728604472
Crewe,45,1888,514,346,608,1910,2149,-239,1468,2025-09-13,1.2861035422343323
Port Vale,43,1891,507,370,595,1798,1957,-159,1472,2025-09-20,1.2846467391304348
QPR,52,1843,482,397,559,1763,1924,-161,1438,2025-09-20,1.2816411682892908
Cheltenham,81,1466,380,326,443,1371,1553,-182,1149,2025-09-20,1.2758920800696258
