Date,Opponent,Venue,Result,Elo,Glicko,TrueSkill,Poisson_Att,Poisson_Def
2021-08-07,Carlisle,A,D,1299.0674328614448,1252.4630809084451,22.455631397866398,-0.15562917212034152,0.2318169104694372
2021-08-14,Northampton,H,A,1293.330039604565,1241.8713404319024,22.36464140439631,-0.16229734562701503,0.23112616044812906
2021-08-17,Mansfield,H,D,1295.897452662353,1247.1980084929617,22.268728036519235,-0.16371886972182745,0.23046985215506097
2021-08-21,Oldham,A,H,1302.5535561878646,1261.3915656055165,22.355695506219533,-0.1597224876331023,0.2284877029238333
2021-08-27,Rochdale,A,D,1303.290370346447,1266.6535560713419,22.44574632780734,-0.16062768712586262,0.22560844394867813
2021-09-10,Barrow,A,H,1310.294132274565,1282.406061480402,22.516448469819238,-0.150964225671712,0.22968081753806638
2021-09-18,Crawley Town,H,A,1302.5033500795691,1264.9943263063722,22.411676382831963,-0.15850250792198847,0.22935509751155872
2021-09-25,Swindon,A,D,1302.7625303279347,1268.6269620496623,22.50930541037624,-0.16413301495592214,0.2217196381569371
2021-10-02,Salford,H,A,1296.0241547630656,1253.5424929350218,22.404612843772412,-0.1701614135501637,0.22609736810228898
2021-10-08,Tranmere,A,A,1287.5550900601995,1240.5062557703302,22.296284679525147,-0.17518399002080212,0.22972369524579642
2021-10-16,Harrogate,H,H,1298.8921241008422,1261.3806011424008,22.397316490590182,-0.1776617125410893,0.22449220658836977
2021-10-19,Bristol Rvs,H,D,1300.5815568008961,1262.3344672048859,22.306551227008196,-0.17905969858253962,0.22399920278865335
2021-10-23,Port Vale,A,A,1291.5319143875101,1249.351664939524,22.190833755948155,-0.1843037902022871,0.23251844054538398
2021-10-26,Sutton,H,A,1283.7590459990647,1234.7153641423808,22.088745873722676,-0.18662735820056991,0.24188843374697547
2021-10-30,Scunthorpe,H,H,1292.8746578718249,1248.7886710691942,22.189096372756726,-0.18366754545086306,0.24139719298745987
2021-11-20,Stevenage,A,A,1282.146922078569,1230.8812565741637,22.05818693986146,-0.18892489506425367,0.24064814122346534
2021-11-23,Exeter,H,H,1295.2848364673464,1254.4128148271575,22.18921054827775,-0.1799906964673843,0.23930431596790855
2021-11-26,Newport County,H,D,1297.9764145390852,1258.1539621970112,22.098395212683325,-0.1812252978560345,0.23911225094921196
2021-12-08,Bradford,A,D,1297.0320687290766,1258.3369399506448,22.18828481300379,-0.18611103645042887,0.2324201650132596
2021-12-11,Walsall,A,A,1286.829482194098,1242.001300661981,22.07658138800083,-0.19113952400024306,0.24104193701091575
2022-01-01,Crawley Town,A,A,1277.033400796518,1226.1747057950556,21.95462052561558,-0.1920853413393714,0.24949264559462653
2022-01-11,Forest Green,A,A,1270.3486485272872,1217.438706367439,21.857128542929033,-0.19721294449691076,0.2522133663427509
2022-01-15,Barrow,H,A,1262.1071579022134,1200.5892231871399,21.74502553043846,-0.2035349599640088,0.25733367301717974
2022-01-18,Sutton,A,A,1253.2878691232838,1188.8462671193079,21.63155287151647,-0.1994192434457097,0.2651320820344623
2022-01-22,Salford,A,H,1263.4545534275421,1210.3598895895307,21.72075838065322,-0.18909116314243185,0.2579740897357072
2022-01-29,Swindon,H,D,1267.3527246025797,1217.1497168879023,21.638327546453553,-0.19084270073718432,0.2563331832415495
2022-02-01,Rochdale,H,D,1270.4792211529987,1221.3531889631965,21.550512469505634,-0.19276804080266496,0.2549036656593972
2022-02-05,Leyton Orient,A,H,1278.9275829216529,1238.9633016314806,21.639350361253246,-0.19321932154585766,0.24780394746757944
2022-02-08,Mansfield,A,A,1271.0044753767313,1228.2660215104945,21.53712401452119,-0.19329636815810552,0.25076777015219465
2022-02-12,Carlisle,H,D,1272.2386065729477,1228.0161818526226,21.44080116107023,-0.19013278282380822,0.25539491759131067
2022-02-19,Northampton,A,A,1265.0323141824692,1218.3502215854132,21.350393231999153,-0.19514146934189625,0.26340529644014565
2022-02-22,Hartlepool,H,A,1257.8780530570966,1205.8129123305544,21.25342245473322,-0.1972233608738924,0.26836433470345245
2022-02-26,Oldham,H,D,1259.174306364289,1207.0229939247633,21.166350030109005,-0.1994830557746349,0.26759787313435907
2022-03-01,Leyton Orient,H,D,1260.5481457551703,1207.2104819715537,21.075973521151596,-0.196125332763272,0.2718999793337109
2022-03-05,Port Vale,H,H,1273.0576772303466,1228.4546135818239,21.1992121562419,-0.197273394059763,0.26627102361756316
2022-03-12,Scunthorpe,A,H,1278.959617656986,1239.444655443312,21.277251180995968,-0.18806988867579708,0.2647825383723879
2022-03-15,Bristol Rvs,A,A,1271.044161417456,1228.9416543300645,21.18737942544974,-0.19310182182952737,0.262586775120251
2022-03-21,Forest Green,H,A,1266.341758540189,1219.8545473789502,21.123311003921437,-0.19922087941801397,0.26150873573773675
2022-03-26,Tranmere,H,H,1279.2767017836156,1241.2582948858621,21.258123557939886,-0.2000985549915453,0.255991909913758
2022-04-02,Harrogate,A,H,1286.6508234846876,1255.2198354915474,21.337663353431445,-0.1963073359084785,0.25442963167035376
2022-04-09,Stevenage,H,A,1277.7007134372077,1236.9837228100914,21.24391583024181,-0.20280284044239003,0.2597275139194803
2022-04-15,Exeter,A,A,1271.2128183160878,1228.736840419326,21.165156088764252,-0.20750521190042404,0.26196422684398046
2022-04-18,Bradford,H,H,1281.9517243618411,1245.2601502779144,21.274045748728998,-0.19834409503266748,0.25658602847430845
2022-04-22,Newport County,A,H,1291.630331197039,1263.63560680221,21.37164782625121,-0.19338036826151067,0.2549776125442905
2022-04-30,Walsall,H,D,1292.8857989496985,1263.7867554967493,21.29169179045376,-0.18954904119347313,0.25977500211125204
2022-05-07,Hartlepool,A,H,1299.863205760458,1277.029872409086,21.36763554929449,-0.18547825974214122,0.25370686942260273
2022-07-30,Northampton,A,A,1292.4786177552166,1263.617896479589,21.273386838615135,-0.180383538706651,0.26157101329016363
2022-08-06,Carlisle,H,D,1293.979268788589,1264.406042020589,21.181920156623104,-0.18225441357525876,0.26121050948467883
2022-08-13,Stockport,A,A,1282.826054426214,1239.7603771804008,21.043477691224872,-0.18912767988583856,0.2592963086673691
2022-08-16,Bradford,H,H,1293.7522107074992,1259.663277093573,21.161577779705553,-0.19008577948916666,0.25384267925324944
