team,ranking,elo,points,w,d,l,goals_for,goals_against,goal_difference,matched_played,last_date
Arsenal,2,2020.76,2348,683,299,249,2239,1219,1020,1231,2025-10-04
Liverpool,3,2011.16,2298,666,300,265,2219,1230,989,1231,2025-09-20
Man City,5,1990.68,2215,647,274,350,2249,1375,874,1271,2025-09-27
Chelsea,4,1922.92,2269,656,301,274,2114,1233,881,1231,2025-10-04
Crystal Palace,63,1916.44,1772,464,380,519,1696,1783,-87,1363,2025-09-27
Aston Villa,67,1895.2,1709,452,353,450,1600,1629,-29,1255,2025-10-05
Newcastle,57,1889.88,1812,500,312,435,1779,1639,140,1247,2025-10-05
Bournemouth,28,1882.96,1963,532,367,516,1894,1848,46,1415,2025-10-03
Brighton,35,1882.8,1916,499,419,497,1757,1751,6,1415,2025-09-20
Everton,70,1876.6,1664,438,350,443,1563,1585,-22,1231,2025-10-05
Brentford,8,1813.64,2121,576,393,478,1994,1783,211,1447,2025-10-05
Fulham,53,1809.8,1836,495,351,485,1781,1732,49,1331,2025-09-20
Man United,1,1784.76,2469,734,267,230,2286,1201,1085,1231,2025-10-04
Nott'm Forest,21,1783.12,1984,522,418,487,1851,1750,101,1427,2025-09-27
Tottenham,39,1782.24,1906,539,289,403,1906,1566,340,1231,2025-09-27
Leeds,9,1770.76,2089,585,334,456,1929,1685,244,1375,2025-10-04
Burnley,32,1740.48,1932,516,384,507,1782,1841,-59,1407,2025-09-20
Wolves,18,1717.24,1999,541,376,474,1833,1736,97,1391,2025-10-05
West Ham,75,1711.24,1630,436,322,497,1603,1785,-182,1255,2025-09-20
Coventry,59,1660.84,1802,467,401,545,1705,1845,-140,1413,2025-09-27
Leicester,46,1640.52,1886,508,362,471,1849,1739,110,1341,2025-09-30
Sunderland,55,1629.4,1830,488,366,487,1671,1663,8,1341,2025-09-21
Ipswich,13,1612.04,2072,559,395,484,1984,1850,134,1438,2025-10-05
Birmingham,29,1602.36,1962,518,408,499,1746,1743,3,1425,2025-09-30
Millwall,10,1588.96,2089,561,406,514,1797,1765,32,1481,2025-10-04
Middlesbrough,36,1577.44,1913,516,365,488,1745,1641,104,1369,2025-09-30
QPR,52,1571.56,1848,483,399,559,1766,1926,-160,1441,2025-10-01
Bristol City,12,1569.68,2078,554,416,511,1961,1876,85,1481,2025-10-04
West Brom,54,1554.16,1831,483,382,512,1765,1820,-55,1377,2025-09-26
Swansea,27,1553.0,1967,527,386,512,1778,1778,0,1425,2025-10-04
Stoke,49,1551.88,1873,495,388,518,1626,1738,-112,1401,2025-09-27
Preston,6,1551.44,2167,581,424,468,1974,1774,200,1473,2025-10-04
Southampton,74,1539.6,1643,431,350,516,1668,1830,-162,1297,2025-09-27
Charlton,26,1533.32,1969,524,397,496,1834,1819,15,1417,2025-09-27
Wrexham,87,1531.0,1092,290,222,279,1040,1060,-20,791,2025-10-03
Portsmouth,38,1521.24,1908,509,381,524,1830,1809,21,1414,2025-10-04
Stockport,85,1518.6,1292,343,263,371,1294,1368,-74,977,2025-09-27
Hull,48,1509.52,1878,496,390,555,1745,1848,-103,1441,2025-10-04
Derby,31,1498.56,1933,518,379,528,1831,1857,-26,1425,2025-10-04
Sheffield United,7,1496.44,2148,588,384,473,1934,1740,194,1445,2025-09-30
Blackburn,44,1488.0,1893,507,372,473,1788,1708,80,1352,2025-10-04
Watford,47,1480.96,1879,500,379,538,1860,1941,-81,1417,2025-10-04
Cardiff,16,1477.52,2043,543,414,510,1896,1856,40,1467,2025-10-04
Oxford,66,1473.8,1716,460,336,490,1677,1648,29,1286,2025-09-27
Norwich,34,1473.44,1922,518,368,531,1877,1944,-67,1417,2025-10-01
Sheffield Weds,45,1466.6,1892,499,395,539,1820,1913,-93,1433,2025-10-04
Luton,65,1447.12,1728,468,324,453,1688,1633,55,1245,2025-09-27
Stevenage,93,1446.96,917,241,194,255,811,831,-20,690,2025-10-04
Plymouth,14,1430.88,2065,562,379,533,1887,1860,27,1474,2025-10-04
Bradford,30,1413.0,1940,515,395,548,1786,1897,-111,1458,2025-09-27
Lincoln,76,1411.4,1618,426,340,422,1515,1504,11,1188,2025-10-04
Bolton,51,1394.24,1848,492,372,503,1778,1859,-81,1367,2025-10-04
Wigan,22,1374.64,1977,531,384,496,1814,1732,82,1411,2025-09-27
Leyton Orient,58,1372.4,1811,483,362,536,1700,1814,-114,1381,2025-09-27
