Season,Team,Elo,Glicko,TrueSkill,Poisson_Att,Poisson_Def,Pos
9394,Colchester,1379.3994959833362,1381.4532609765122,24.00801612231655,0.029875285814121133,0.29841992260933053,63
9394,Southend,1483.8056584000324,1519.5075289151846,24.942756497104128,0.0538469681460725,0.1626938339762059,92
9394,Yeovil,1443.3178750611642,1472.2116952235929,24.375036849413902,0.038033186611065264,0.17375112179908633,92
9495,Colchester,1375.4553308904653,1377.36174179279,23.81221283486227,0.019681597280494966,0.3136401836104598,56
9495,Southend,1518.8472900370468,1605.6412595290883,25.677110515354176,0.058012047119468786,0.17147568276084504,92
9495,Yeovil,1443.3178750611642,1472.2116952235929,24.375036849413902,0.038033186611065264,0.17375112179908633,92
9596,Colchester,1414.8457627624482,1445.1202726779936,24.406924917481604,-0.003444496107661584,0.2483143207150628,51
9596,Southend,1513.9000718659074,1558.8913100925204,25.6513199500109,0.05501765158550233,0.12862399528930682,92
9596,Yeovil,1443.3178750611642,1472.2116952235929,24.375036849413902,0.038033186611065264,0.17375112179908633,92
9697,Colchester,1406.5394389122794,1416.8000885014803,24.080889271542773,-0.01109818500363665,0.21021669421800016,52
9697,Southend,1438.8217938737903,1454.4697433668234,24.50838119612284,0.0026039341486828902,0.19816470606837827,92
9697,Yeovil,1443.3178750611642,1472.2116952235929,24.375036849413902,0.038033186611065264,0.17375112179908633,92
9798,Colchester,1423.8187180435307,1454.1380946942404,24.19086913324251,0.022469938484096348,0.22014959569711604,48
9798,Southend,1381.3848142646711,1389.3424468736393,23.379355055157813,-0.027395074766653194,0.259052979088217,44
9798,Yeovil,1443.3178750611642,1472.2116952235929,24.375036849413902,0.038033186611065264,0.17375112179908633,92
9899,Colchester,1422.1964147242647,1455.375757665679,24.23289970961862,0.010629834971453842,0.24524390026595616,38
9899,Southend,1333.3311738985446,1329.6823820725951,22.602734917490334,-0.07499034558654642,0.24752987973574064,62
9899,Yeovil,1443.3178750611642,1472.2116952235929,24.375036849413902,0.038033186611065264,0.17375112179908633,92
9900,Colchester,1408.9743993368122,1432.2795714236483,24.102328780535792,0.027423128613702476,0.30088263176626695,38
9900,Southend,1321.0114482412478,1320.4306402165848,22.336315268202004,-0.10376716838972273,0.25727026962231747,60
9900,Yeovil,1443.3178750611642,1472.2116952235929,24.375036849413902,0.038033186611065264,0.17375112179908633,92
1,Colchester,1423.6776976935591,1462.4351454553164,24.252221953287314,0.020377151102415784,0.24924942775447556,61
1,Southend,1350.4412925839538,1362.4841100430385,22.733802685191538,-0.11295397629232774,0.237161530222352,79
1,Yeovil,1443.3178750611642,1472.2116952235929,24.375036849413902,0.038033186611065264,0.17375112179908633,92
102,Colchester,1422.5668436490917,1453.2100009239475,24.11775021809546,0.04960030569896487,0.28086525961063896,59
102,Southend,1342.3750738072608,1353.578442940428,22.73883585079375,-0.14190164361812305,0.2204921148745163,80
102,Yeovil,1443.3178750611642,1472.2116952235929,24.375036849413902,0.038033186611065264,0.17375112179908633,92
203,Colchester,1449.5051997980877,1504.5966111010553,24.473356734238475,0.01739158138886927,0.2136115426948193,92
203,Southend,1289.551649042443,1264.1766515192708,21.979910472182524,-0.18379876895879835,0.22665579956990728,92
